Product_ID,Quantity,Days_to_Expire,Avg_Usage_per_Day,Risk,Waste_Label
COF006,231,45,2.6,95.15,0
CHS010,484,3,179.43,89.1,1
SNK001,357,40,7.42,91.91,0
SNK001,509,-12,445.64,100.0,1
SNK001,500,47,8.3,92.35,0
DRK002,363,14,31.05,88.35,0
SNK001,589,-12,440.37,100.0,1
BIS007,191,19,10.0,90.55,0
SAL008,100,-7,73.08,100.0,1
SND004,585,31,21.64,88.73,0
MLK003,255,45,6.5,88.96,0
BIS007,455,19,28.73,88.26,0
FRU009,177,58,3.49,89.18,0
FRU009,379,21,15.59,91.58,0
SNK001,302,13,24.43,89.82,0
FRU009,207,59,1.56,95.76,0
COF006,219,-4,259.46,100.0,1
BIS007,406,12,38.72,88.83,0
JCE005,384,50,5.77,92.68,0
JCE005,304,30,7.72,92.62,0
BIS007,397,11,33.32,90.99,0
JCE005,114,65,0.76,96.02,0
JCE005,305,69,3.98,91.28,0
SNK001,413,45,4.05,95.69,0
SNK001,552,26,8.9,95.88,0
SAL008,537,6,103.57,88.64,0
DRK002,308,39,6.11,92.51,0
SND004,319,38,6.37,92.64,0
SNK001,278,3,77.93,91.88,1
SNK001,242,18,8.2,94.14,0
SAL008,444,11,34.62,91.61,0
SND004,597,-8,448.13,100.0,1
DRK002,568,49,11.98,89.84,0
SAL008,351,69,4.42,91.55,0
FRU009,212,46,3.85,92.02,0
MLK003,303,-14,309.3,100.0,1
DRK002,380,70,2.9,94.79,0
FRU009,573,34,10.46,93.9,0
CHS010,510,-15,494.12,100.0,1
DRK002,437,-12,472.96,100.0,1
FRU009,384,17,15.86,93.16,0
SAL008,478,46,7.23,93.18,0
SND004,575,15,39.59,89.85,0
CHS010,281,16,17.53,90.36,0
FRU009,340,50,6.61,90.56,0
SND004,577,26,14.08,93.76,0
COF006,553,42,11.84,91.17,0
MLK003,87,21,4.38,90.52,0
FRU009,201,-10,92.86,100.0,1
FRU009,217,15,12.5,91.74,0
MLK003,342,14,20.79,91.73,0
SNK001,260,15,17.94,90.03,0
SNK001,469,11,50.07,88.5,0
DRK002,216,73,1.67,94.61,0
JCE005,586,52,8.17,92.87,0
MLK003,237,28,8.64,90.21,0
DRK002,417,4,100.04,90.63,1
SNK001,173,71,1.77,93.13,0
BIS007,175,-1,106.94,100.0,1
JCE005,100,69,0.64,95.99,0
BIS007,291,-3,201.86,100.0,1
BIS007,116,19,6.12,90.77,0
SND004,376,33,7.21,93.84,0
FRU009,585,-1,372.4,100.0,1
JCE005,144,68,2.42,89.31,0
COF006,135,31,1.76,96.24,0
MLK003,574,-15,327.49,100.0,1
SNK001,325,1,160.16,95.22,1
FRU009,145,38,1.93,95.27,0
MLK003,86,60,1.29,91.94,0
JCE005,595,31,12.28,93.71,0
DRK002,557,62,3.82,95.82,0
COF006,100,-9,106.82,100.0,1
SAL008,133,48,1.54,94.83,0
FRU009,131,34,1.6,96.14,0
FRU009,391,23,14.27,91.82,0
SAL008,600,8,31.07,95.93,0
SAL008,284,1,147.72,94.98,1
SNK001,440,-7,498.84,100.0,1
SND004,531,26,18.98,90.88,0
COF006,294,57,5.47,89.74,0
SNK001,211,29,4.06,94.67,0
MLK003,135,0,155.99,100.0,1
SND004,565,45,14.69,88.5,0
BIS007,567,61,3.92,95.86,0
DRK002,484,33,10.01,93.31,0
JCE005,338,60,5.99,89.67,0
MLK003,527,-11,580.22,100.0,1
MLK003,574,53,7.54,93.16,0
CHS010,72,6,5.17,96.22,0
JCE005,146,37,2.69,93.62,0
MLK003,87,6,6.28,96.12,0
SAL008,319,-18,221.92,100.0,1
FRU009,447,24,17.71,90.7,0
COF006,211,44,3.23,93.57,0
MLK003,235,58,3.14,92.57,0
SNK001,304,38,5.28,93.61,0
BIS007,523,33,11.38,92.95,0
DRK002,175,-15,196.77,100.0,1
FRU009,534,43,8.54,93.25,0
JCE005,207,71,1.47,95.19,0
SAL008,591,8,31.32,95.83,0
SAL008,284,-6,231.1,100.0,1
FRU009,419,32,7.75,94.22,0
SND004,451,-8,399.5,100.0,1
BIS007,200,-5,113.91,100.0,1
FRU009,64,-4,50.5,100.0,1
FRU009,156,37,4.72,89.48,0
SND004,301,54,5.89,89.77,0
FRU009,445,16,27.02,90.5,0
MLK003,444,-15,346.8,100.0,1
MLK003,208,61,3.64,89.81,0
JCE005,334,9,26.2,93.15,0
JCE005,243,67,3.18,91.58,0
BIS007,153,32,5.15,89.89,0
COF006,76,73,0.74,93.72,0
CHS010,476,13,38.64,89.66,0
BIS007,236,-20,210.85,100.0,1
BIS007,383,20,18.48,90.6,0
CHS010,536,31,13.95,92.08,0
FRU009,261,15,13.98,92.26,0
BIS007,307,-10,326.14,100.0,1
FRU009,587,48,13.58,89.08,0
BIS007,360,5,44.45,93.99,0
SAL008,374,-6,166.04,100.0,1
CHS010,300,24,9.03,93.01,0
CHS010,512,-14,427.39,100.0,1
JCE005,292,23,14.92,88.64,0
JCE005,121,36,2.77,92.39,0
COF006,390,61,6.73,89.74,0
DRK002,340,50,7.06,89.91,0
BIS007,173,55,3.12,90.62,0
SAL008,508,56,8.79,90.5,0
JCE005,111,-12,77.28,100.0,1
MLK003,328,-22,367.13,100.0,1
FRU009,78,-20,59.72,100.0,1
JCE005,51,59,0.65,93.71,0
SND004,517,59,4.25,95.24,0
COF006,374,3,106.23,91.7,1
COF006,287,67,2.54,94.27,0
DRK002,81,55,0.92,94.44,0
JCE005,485,64,6.88,91.1,0
CHS010,572,20,30.08,89.66,0
SNK001,430,52,6.62,92.18,0
JCE005,356,-5,403.58,100.0,1
JCE005,495,57,5.4,93.9,0
JCE005,585,-1,630.22,100.0,1
SNK001,253,-18,271.84,100.0,1
SND004,244,60,4.75,88.78,0
SAL008,412,38,9.07,91.83,0
